Country,2021,2020,2019,2018,2017,2016,2015,2014,2013,,,,,
Albania,"6,494.40","5,332.20","5,396.20","5,287.70","4,531.00","4,124.10","3,952.80","4,578.60","4,413.10",,,,,
Algeria,"3,765.00","3,306.90","3,989.70","4,142.00","4,109.70","3,946.50","4,177.90","5,493.10","5,499.60",,,,,
Argentina,"10,729.20","8,585.70","10,076.40","11,795.20","14,613.00","12,790.20","13,789.10","12,334.80","13,080.30",,,,,
Australia,"59,934.10","51,680.30","54,875.30","57,180.80","53,934.30","49,881.80","56,707.00","62,511.70","68,156.60",,,,,
Austria,"53,267.90","48,588.70","50,114.40","51,486.60","47,429.20","45,307.60","44,195.80","51,786.40","50,731.10",,,,,
Azerbaijan,"5,384.00","4,229.90","4,805.80","4,739.80","4,147.10","3,880.70","5,500.30","7,891.30","7,875.80",,,,,
Bahrain,"22,232.30","20,406.50","23,552.40","24,086.30","23,742.90","22,608.50","22,634.10","24,989.40","24,744.30",,,,,
Bangladesh,"2,503.00","2,270.30","2,154.20","1,991.50","1,839.60","1,679.00","1,248.50","1,118.90",981.9,,,,,
Belarus,"7,303.70","6,555.40","6,837.70","6,360.10","5,785.70","5,039.70","5,967.10","8,341.40","7,998.10",,,,,
Belgium,"51,767.80","45,189.40","46,599.10","47,549.20","44,198.50","42,012.60","41,008.30","47,764.10","46,758.00",,,,,
Bosnia And Herzegovina,"6,916.40","6,082.40","6,119.80","6,070.40","5,394.30","4,995.00","4,729.70","5,330.40","5,129.70",,,,,
Brazil,"7,518.80","6,814.90","8,876.10","9,151.40","9,928.70","8,710.10","8,814.00","12,112.80","12,300.40",,,,,
Bulgaria,"11,635.00","10,079.20","9,879.30","9,446.70","8,366.30","7,569.50","7,074.70","7,901.80","7,681.90",,,,,
Canada,"52,051.40","43,258.30","46,328.70","46,548.60","45,129.40","42,315.60","43,596.10","50,956.00","52,635.20",,,,,
Chile,"16,502.80","13,220.60","14,699.50","15,772.30","14,962.60","13,690.90","13,495.00","14,607.00","15,777.80",,,,,
China,"12,556.30","10,408.70","10,143.80","9,905.30","8,817.00","8,094.40","8,016.40","7,636.10","7,020.30",,,,,
Colombia,"6,131.20","5,312.20","6,418.60","6,729.60","6,376.70","5,870.80","6,175.90","8,114.30","8,218.30",,,,,
Costa Rica,"12,508.60","12,201.90","12,762.10","12,485.40","12,225.60","12,011.20","11,642.80","10,847.20","10,744.10",,,,,
Croatia,"17,398.80","14,132.50","15,311.80","15,227.60","13,629.30","12,527.70","11,933.40","13,762.40","13,837.70",,,,,
Cyprus,"30,798.50","27,681.60","29,206.10","29,334.10","26,608.90","24,605.90","23,408.30","27,163.30","27,729.20",,,,,
Czech Republic,"26,378.50","22,933.50","23,660.10","23,419.70","20,636.20","18,575.20","17,829.70","19,890.90","20,133.20",,,,,
Denmark,"67,803.00","61,063.30","59,775.70","61,591.90","57,610.10","54,664.00","53,254.90","62,549.00","61,191.20",,,,,
Dominican Republic,"8,603.80","7,268.20","8,282.10","8,050.60","7,609.40","7,280.90","6,921.50","6,608.80","6,238.10",,,,,
Ecuador,"5,934.90","5,627.80","6,222.50","6,295.90","6,213.50","6,060.10","6,124.50","6,377.10","6,056.30",,,,,
Egypt,"3,876.40","3,569.20","3,019.10","2,537.10","2,444.30","3,519.90","3,562.90","3,379.60","3,262.70",,,,,
Estonia,"27,280.70","23,054.40","23,397.90","23,063.60","20,437.80","18,295.30","17,402.00","20,261.10","19,056.00",,,,,
Finland,"53,982.60","49,160.80","48,628.60","49,988.90","46,412.10","43,814.00","42,801.90","50,327.20","49,892.20",,,,,
France,"43,518.50","39,037.10","40,578.60","41,592.80","38,781.00","37,062.50","36,652.90","43,068.50","42,605.00",,,,,
Georgia,"5,042.40","4,255.70","4,696.20","4,722.00","4,357.00","4,062.20","4,014.20","4,739.20","4,623.70",,,,,
Germany,"50,801.80","46,252.70","46,794.90","47,973.60","44,652.60","42,136.10","41,103.30","48,023.90","46,298.90",,,,,
Greece,"20,276.50","17,647.20","19,133.80","19,757.00","18,582.10","17,924.00","18,083.90","21,616.70","21,787.80",,,,,
Hong Kong,"49,660.60","46,101.00","48,356.10","48,537.60","46,160.40","43,733.90","42,431.90","40,315.30","38,403.80",,,,,
Hungary,"18,772.70","16,076.00","16,735.70","16,427.40","14,623.70","13,107.40","12,720.70","14,298.80","13,720.00",,,,,
Iceland,"68,383.80","59,264.00","68,941.50","74,469.80","72,010.10","61,987.90","52,951.70","54,576.70","49,805.00",,,,,
India,"2,277.40","1,933.10","2,072.20","1,998.30","1,980.70","1,732.60","1,605.60","1,573.90","1,449.60",,,,,
Indonesia,"4,291.80","3,870.60","4,135.20","3,893.90","3,837.60","3,562.80","3,331.70","3,491.60","3,623.90",,,,,
Iraq,"5,048.40","4,583.70","5,943.50","5,915.90","4,985.50","4,550.70","4,688.30","6,637.70","7,076.60",,,,,
Ireland,"99,152.10","85,422.50","80,886.60","79,107.60","69,774.00","62,861.60","62,012.50","55,599.90","51,533.00",,,,,
Israel,"51,430.10","44,177.60","43,951.20","42,063.50","40,774.10","37,330.30","35,808.40","37,847.60","36,499.50",,,,,
Italy,"35,551.30","31,835.00","33,673.50","34,622.20","32,406.70","30,960.70","30,242.40","35,565.70","35,560.10",,,,,
Japan,"39,285.20","39,918.20","40,458.00","39,727.10","38,834.10","39,375.50","34,960.60","38,475.40","40,898.60",,,,,
Jordan,"4,405.80","4,282.80","4,405.50","4,308.20","4,231.50","4,175.40","4,164.10","4,131.40","4,044.40",,,,,
Kazakhstan,"10,041.50","9,121.60","9,812.60","9,812.60","9,247.60","7,714.80","10,510.80","12,807.30","13,890.60",,,,,
Kenya,"2,006.80","1,872.10","1,909.30","1,794.10","1,633.50","1,525.20","1,464.60","1,462.20","1,354.80",,,,,
Latvia,"20,642.20","17,704.00","17,926.80","17,865.00","15,695.10","14,331.80","13,786.50","15,742.40","15,007.50",,,,,
Lebanon,"2,670.40","3,801.80","7,527.40","8,003.80","7,776.00","7,617.70","7,643.00","7,681.70","7,928.30",,,,,
Lithuania,"23,433.40","20,232.30","19,575.80","19,186.20","16,885.40","15,008.30","14,264.00","16,551.00","15,729.70",,,,,
