Country,2021,2020,2019,2018,2017,2016,2015,2014,2013
Albania,6494.4,5332.2,5396.2,5287.7,4531.0,4124.1,3952.8,4578.6,4413.1
Algeria,3765.0,3306.9,3989.7,4142.0,4109.7,3946.5,4177.9,5493.1,5499.6
Argentina,10729.2,8585.7,10076.4,11795.2,14613.0,12790.2,13789.1,12334.8,13080.3
Australia,59934.1,51680.3,54875.3,57180.8,53934.3,49881.8,56707.0,62511.7,68156.6
Austria,53267.9,48588.7,50114.4,51486.6,47429.2,45307.6,44195.8,51786.4,50731.1
Azerbaijan,5384.0,4229.9,4805.8,4739.8,4147.1,3880.7,5500.3,7891.3,7875.8
Bahrain,22232.3,20406.5,23552.4,24086.3,23742.9,22608.5,22634.1,24989.4,24744.3
Bangladesh,2503.0,2270.3,2154.2,1991.5,1839.6,1679.0,1248.5,1118.9,981.9
Belarus,7303.7,6555.4,6837.7,6360.1,5785.7,5039.7,5967.1,8341.4,7998.1
Belgium,51767.8,45189.4,46599.1,47549.2,44198.5,42012.6,41008.3,47764.1,46758.0
Bosnia And Herzegovina,6916.4,6082.4,6119.8,6070.4,5394.3,4995.0,4729.7,5330.4,5129.7
Brazil,7518.8,6814.9,8876.1,9151.4,9928.7,8710.1,8814.0,12112.8,12300.4
Bulgaria,11635.0,10079.2,9879.3,9446.7,8366.3,7569.5,7074.7,7901.8,7681.9
Canada,52051.4,43258.3,46328.7,46548.6,45129.4,42315.6,43596.1,50956.0,52635.2
Chile,16502.8,13220.6,14699.5,15772.3,14962.6,13690.9,13495.0,14607.0,15777.8
China,12556.3,10408.7,10143.8,9905.3,8817.0,8094.4,8016.4,7636.1,7020.3
Colombia,6131.2,5312.2,6418.6,6729.6,6376.7,5870.8,6175.9,8114.3,8218.3
Costa Rica,12508.6,12201.9,12762.1,12485.4,12225.6,12011.2,11642.8,10847.2,10744.1
Croatia,17398.8,14132.5,15311.8,15227.6,13629.3,12527.7,11933.4,13762.4,13837.7
Cyprus,30798.5,27681.6,29206.1,29334.1,26608.9,24605.9,23408.3,27163.3,27729.2
Czech Republic,26378.5,22933.5,23660.1,23419.7,20636.2,18575.2,17829.7,19890.9,20133.2
Denmark,67803.0,61063.3,59775.7,61591.9,57610.1,54664.0,53254.9,62549.0,61191.2
Dominican Republic,8603.8,7268.2,8282.1,8050.6,7609.4,7280.9,6921.5,6608.8,6238.1
Ecuador,5934.9,5627.8,6222.5,6295.9,6213.5,6060.1,6124.5,6377.1,6056.3
Egypt,3876.4,3569.2,3019.1,2537.1,2444.3,3519.9,3562.9,3379.6,3262.7
Estonia,27280.7,23054.4,23397.9,23063.6,20437.8,18295.3,17402.0,20261.1,19056.0
Finland,53982.6,49160.8,48628.6,49988.9,46412.1,43814.0,42801.9,50327.2,49892.2
France,43518.5,39037.1,40578.6,41592.8,38781.0,37062.5,36652.9,43068.5,42605.0
Georgia,5042.4,4255.7,4696.2,4722.0,4357.0,4062.2,4014.2,4739.2,4623.7
Germany,50801.8,46252.7,46794.9,47973.6,44652.6,42136.1,41103.3,48023.9,46298.9
Greece,20276.5,17647.2,19133.8,19757.0,18582.1,17924.0,18083.9,21616.7,21787.8
Hong Kong,49660.6,46101.0,48356.1,48537.6,46160.4,43733.9,42431.9,40315.3,38403.8
Hungary,18772.7,16076.0,16735.7,16427.4,14623.7,13107.4,12720.7,14298.8,13720.0
Iceland,68383.8,59264.0,68941.5,74469.8,72010.1,61987.9,52951.7,54576.7,49805.0
India,2277.4,1933.1,2072.2,1998.3,1980.7,1732.6,1605.6,1573.9,1449.6
Indonesia,4291.8,3870.6,4135.2,3893.9,3837.6,3562.8,3331.7,3491.6,3623.9
Iraq,5048.4,4583.7,5943.5,5915.9,4985.5,4550.7,4688.3,6637.7,7076.6
Ireland,99152.1,85422.5,80886.6,79107.6,69774.0,62861.6,62012.5,55599.9,51533.0
Israel,51430.1,44177.6,43951.2,42063.5,40774.1,37330.3,35808.4,37847.6,36499.5
Italy,35551.3,31835.0,33673.5,34622.2,32406.7,30960.7,30242.4,35565.7,35560.1
Japan,39285.2,39918.2,40458.0,39727.1,38834.1,39375.5,34960.6,38475.4,40898.6
Jordan,4405.8,4282.8,4405.5,4308.2,4231.5,4175.4,4164.1,4131.4,4044.4
Kazakhstan,10041.5,9121.6,9812.6,9812.6,9247.6,7714.8,10510.8,12807.3,13890.6
