Country,2020,2019,2018,2017,2016,2015,2014,2013
Albania,72.24,68.55,65.4,62.4,59.6,56.9,54.3,51.8
Algeria,62.9,57.9,49.04,47.69,42.95,38.2,29.5,22.5
Argentina,85.5,79.9,77.7,74.3,71.0,68.0,64.7,59.9
Australia,89.6,88.6,87.6,86.55,86.54,84.56,84.0,83.45
Austria,87.53,87.75,87.48,87.94,84.32,83.94,81.0,80.62
Azerbaijan,84.6,81.1,79.8,79.0,78.2,77.0,75.0,73.0
Bahrain,99.67,99.7,98.64,95.88,98.0,93.48,90.5,90.0
Bangladesh,24.8,23.8,21.8,19.8,18.1,12.9,11.9,6.63
Belarus,85.09,82.79,79.13,74.44,71.11,62.23,59.02,54.17
Belgium,91.53,90.28,88.65,87.68,86.52,85.05,85.0,82.17
Bosnia And Herzegovina,73.21,69.95,70.12,64.89,60.26,52.6,49.92,48.52
Brazil,81.34,73.91,70.43,67.47,60.87,58.33,54.55,51.04
Bulgaria,70.16,67.95,64.78,63.41,59.83,56.66,55.49,53.06
Canada,96.97,96.5,94.64,92.7,91.16,90.0,87.12,85.8
Chile,88.3,86.1,84.9,82.33,83.56,76.63,61.11,58.0
China,70.4,64.11,59.2,54.3,53.2,50.3,47.9,45.8
Colombia,69.79,65.01,64.13,62.26,58.14,55.9,52.57,51.7
Costa Rica,80.53,81.2,73.48,71.58,65.88,59.76,53.0,45.96
Croatia,78.32,79.08,75.29,67.1,72.7,69.85,68.57,66.75
Cyprus,90.8,86.06,84.43,80.74,75.9,71.72,69.33,65.45
Czech Republic,81.34,80.87,80.69,78.72,76.48,75.67,74.23,74.11
Denmark,96.55,98.05,97.32,97.1,96.97,96.33,95.99,94.63
Dominican Republic,76.9,75.8,74.82,67.57,63.87,54.22,49.58,45.9
Ecuador,64.6,61.6,57.5,55.8,54.06,48.94,45.59,40.28
Egypt,71.91,57.28,46.92,44.95,41.25,37.82,33.89,29.4
Estonia,89.06,90.23,89.36,88.1,87.24,88.41,84.24,80.0
Finland,92.17,89.61,88.89,87.47,87.7,86.42,86.53,91.51
France,84.8,83.34,82.04,80.5,79.27,78.01,83.75,81.92
Georgia,72.53,68.85,62.72,59.71,58.46,47.57,44.0,43.3
Germany,89.81,88.13,87.04,84.39,84.17,87.59,86.19,84.17
Greece,78.12,75.67,72.24,69.89,69.09,66.83,63.21,59.87
Hong Kong,92.41,91.74,90.51,89.42,87.48,84.95,79.87,74.2
Hungary,84.77,80.37,76.07,76.75,79.26,72.83,75.65,72.64
Iceland,99.0,99.0,99.01,98.26,98.24,98.2,98.16,96.55
India,43.0,29.4,20.08,18.2,16.5,14.9,13.5,12.3
Indonesia,53.73,47.69,39.9,32.34,25.45,22.06,17.14,14.94
Iraq,70.63,60.0,43.3,41.94,37.67,16.8,13.21,9.2
Ireland,92.0,87.0,87.0,84.11,83.5,83.49,83.49,78.25
Israel,90.13,86.79,83.73,81.58,79.65,77.35,75.02,70.25
Italy,70.48,76.1,74.39,63.08,61.32,58.14,55.64,58.46
Japan,90.22,92.73,91.28,91.73,93.18,91.06,89.11,88.22
Jordan,79.94,72.69,66.1,64.5,56.15,54.22,46.2,41.4
Kazakhstan,85.94,81.88,78.9,76.43,74.59,70.83,66.0,63.3
Kenya,29.5,22.57,19.5,17.83,16.6,16.59,16.5,13.0
Latvia,88.9,86.14,83.58,80.11,79.84,79.2,75.83,75.23
Lebanon,84.1,80.9,80.9,78.18,76.11,74.0,73.0,70.5
Lithuania,83.06,81.58,79.72,77.62,74.38,71.38,72.13,68.45
Luxembourg,98.82,97.12,97.06,97.36,98.14,96.38,94.67,93.78
Malaysia,89.56,84.19,81.2,80.14,78.79,71.06,63.67,57.06
Malta,86.86,85.78,81.66,81.01,78.08,75.96,73.17,68.91
Mexico,71.97,70.07,65.77,63.85,59.54,57.43,44.39,43.46
Morocco,84.12,74.38,64.8,61.76,58.27,57.08,56.8,56.0
Nepal,37.7,32.8,28.6,24.3,20.7,17.58,15.44,13.3
Netherlands,91.33,93.29,91.89,93.2,90.41,91.72,91.67,93.96
New Zealand,91.5,90.2,89.0,87.7,86.5,85.2,84.0,82.78
Nigeria,35.5,33.6,31.9,28.0,25.67,24.5,21.0,19.1
Norway,97.0,98.0,96.49,96.36,97.3,96.81,96.3,95.05
Oman,95.23,90.3,85.5,80.19,76.85,73.53,70.22,66.45
Pakistan,25.0,17.07,15.34,13.78,12.39,11.0,10.0,9.0
Peru,65.25,59.95,55.05,50.45,45.46,40.85,40.2,39.2
Philippines,49.8,43.03,44.1,41.6,39.2,36.9,34.7,32.7
